Package-0,,,,,,,,,,,,,,,,,,,,,,,,Package-1,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp, Pkg0-Total Mem Bw (GB/s),Pkg0-Total Mem RdBw (GB/s),Pkg0-Total Mem WrBw (GB/s),Pkg0-Mem Ch-A RdBw (GB/s),Pkg0-Mem Ch-A WrBw (GB/s),Pkg0-Mem Ch-B RdBw (GB/s),Pkg0-Mem Ch-B WrBw (GB/s),Pkg0-Mem Ch-C RdBw (GB/s),Pkg0-Mem Ch-C WrBw (GB/s),Pkg0-Mem Ch-D RdBw (GB/s),Pkg0-Mem Ch-D WrBw (GB/s),Pkg0-Mem Ch-E RdBw (GB/s),Pkg0-Mem Ch-E WrBw (GB/s),Pkg0-Mem Ch-F RdBw (GB/s),Pkg0-Mem Ch-F WrBw (GB/s),Pkg0-Mem Ch-G RdBw (GB/s),Pkg0-Mem Ch-G WrBw (GB/s),Pkg0-Mem Ch-H RdBw (GB/s),Pkg0-Mem Ch-H WrBw (GB/s),Pkg0-Approximate xGMI outbound data bytes (GB/s),Pkg0-xGMI0 BW (GB/s),Pkg0-xGMI1 BW (GB/s),Pkg0-xGMI2 BW (GB/s),Pkg0-xGMI3 BW (GB/s),Pkg1-Total Mem Bw (GB/s),Pkg1-Total Mem RdBw (GB/s),Pkg1-Total Mem WrBw (GB/s),Pkg1-Mem Ch-A RdBw (GB/s),Pkg1-Mem Ch-A WrBw (GB/s),Pkg1-Mem Ch-B RdBw (GB/s),Pkg1-Mem Ch-B WrBw (GB/s),Pkg1-Mem Ch-C RdBw (GB/s),Pkg1-Mem Ch-C WrBw (GB/s),Pkg1-Mem Ch-D RdBw (GB/s),Pkg1-Mem Ch-D WrBw (GB/s),Pkg1-Mem Ch-E RdBw (GB/s),Pkg1-Mem Ch-E WrBw (GB/s),Pkg1-Mem Ch-F RdBw (GB/s),Pkg1-Mem Ch-F WrBw (GB/s),Pkg1-Mem Ch-G RdBw (GB/s),Pkg1-Mem Ch-G WrBw (GB/s),Pkg1-Mem Ch-H RdBw (GB/s),Pkg1-Mem Ch-H WrBw (GB/s),Pkg1-Approximate xGMI outbound data bytes (GB/s),Pkg1-xGMI0 BW (GB/s),Pkg1-xGMI1 BW (GB/s),Pkg1-xGMI2 BW (GB/s),Pkg1-xGMI3 BW (GB/s),
00:00:28:565, 0.22,0.11,0.10,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:28:818, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.00,0.01,0.01,
00:00:29:071, 0.22,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.22,0.12,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:29:323, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:29:576, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:29:828, 0.22,0.11,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.00,0.01,0.02,
00:00:30:081, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:30:333, 0.21,0.10,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:30:586, 0.22,0.12,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:30:839, 0.21,0.10,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.01,0.01,
00:00:31:091, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:31:344, 0.21,0.10,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:31:596, 0.22,0.12,0.10,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:31:849, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.00,0.01,0.01,
00:00:32:102, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.26,0.16,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:32:354, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.13,0.10,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:32:607, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:32:859, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.01,0.01,
00:00:33:112, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:33:365, 0.23,0.13,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:33:617, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:33:870, 0.22,0.12,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:34:122, 0.22,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:34:375, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:34:627, 0.21,0.11,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:34:880, 0.22,0.12,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.26,0.16,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:35:133, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:35:385, 0.21,0.10,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.13,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:35:638, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:35:890, 0.22,0.12,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:36:143, 0.20,0.10,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:36:396, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:36:650, 0.21,0.11,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.22,0.12,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:36:904, 0.22,0.12,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.25,0.14,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:37:157, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:37:411, 0.24,0.13,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:37:664, 0.22,0.12,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:37:918, 0.22,0.12,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.01,0.00,
00:00:38:171, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:38:425, 0.23,0.13,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.00,0.01,0.01,
00:00:38:679, 0.22,0.12,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:38:932, 0.23,0.13,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:39:186, 0.21,0.10,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:39:439, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:39:693, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:39:947, 0.22,0.12,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:40:200, 0.20,0.10,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.00,
00:00:40:454, 0.22,0.12,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:40:708, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.22,0.12,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:40:962, 0.22,0.12,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:41:216, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:41:469, 0.22,0.12,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:41:722, 3.20,3.07,0.14,0.02,0.01,0.02,0.01,0.40,0.01,0.35,0.01,0.22,0.01,0.25,0.01,0.90,0.03,0.91,0.03,18.52,3.90,5.97,8.65,0.00,3.12,2.66,0.46,0.02,0.01,0.02,0.01,0.60,0.02,0.54,0.02,0.49,0.18,0.61,0.18,0.20,0.02,0.19,0.02,1.35,0.78,0.00,0.29,0.27,
00:00:41:976, 0.70,0.51,0.18,0.05,0.02,0.06,0.02,0.06,0.02,0.06,0.02,0.04,0.02,0.04,0.02,0.10,0.02,0.10,0.02,20.46,5.23,4.61,10.62,0.00,35.01,13.13,21.88,1.93,3.81,1.93,3.81,1.56,2.25,1.56,2.25,1.74,2.61,1.72,2.61,1.34,2.27,1.34,2.27,0.07,0.03,0.00,0.01,0.02,
00:00:42:229, 0.69,0.51,0.19,0.06,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.05,0.03,0.05,0.03,0.10,0.03,0.10,0.03,21.07,5.22,5.29,10.55,0.00,32.90,13.08,19.83,1.98,2.98,1.98,2.98,1.39,2.09,1.39,2.09,2.16,3.20,2.14,3.20,1.02,1.64,1.02,1.64,0.08,0.04,0.00,0.02,0.02,
00:00:42:481, 0.64,0.47,0.17,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.09,0.02,0.09,0.02,21.75,5.35,5.86,10.53,0.00,32.89,12.31,20.58,0.97,1.93,0.97,1.92,1.38,2.53,1.38,2.53,1.69,2.85,1.68,2.85,2.11,2.99,2.11,2.99,0.08,0.03,0.00,0.03,0.02,
00:00:42:734, 0.67,0.50,0.18,0.06,0.02,0.06,0.02,0.04,0.02,0.04,0.02,0.05,0.03,0.05,0.03,0.09,0.02,0.10,0.02,21.76,5.63,5.53,10.60,0.00,33.31,11.87,21.43,1.31,2.63,1.31,2.63,1.41,2.46,1.41,2.46,2.06,3.19,2.04,3.19,1.17,2.43,1.17,2.43,0.09,0.04,0.00,0.02,0.03,
00:00:42:987, 0.68,0.49,0.18,0.06,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.09,0.03,0.09,0.03,19.11,4.60,3.97,10.54,0.00,34.20,12.52,21.68,1.56,2.60,1.55,2.61,0.98,1.83,0.98,1.82,1.93,3.87,1.92,3.87,1.80,2.54,1.80,2.55,0.07,0.03,0.00,0.02,0.02,
00:00:43:240, 0.66,0.49,0.18,0.05,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.05,0.03,0.05,0.03,0.09,0.02,0.09,0.02,18.34,4.13,3.71,10.50,0.00,33.42,13.27,20.16,1.77,2.62,1.76,2.62,1.21,1.82,1.21,1.82,2.43,3.63,2.41,3.63,1.24,2.02,1.24,2.01,0.07,0.04,0.00,0.01,0.02,
00:00:43:493, 0.71,0.53,0.18,0.05,0.02,0.06,0.02,0.06,0.02,0.06,0.02,0.06,0.03,0.06,0.03,0.09,0.02,0.09,0.02,22.08,5.90,5.74,10.44,0.00,34.28,12.87,21.40,1.53,2.22,1.52,2.21,1.69,2.67,1.69,2.67,1.09,1.95,1.07,1.95,2.14,3.86,2.14,3.86,0.09,0.05,0.00,0.02,0.02,
00:00:43:746, 0.67,0.49,0.18,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.10,0.03,0.10,0.03,20.96,4.87,5.58,10.51,0.00,34.13,12.48,21.65,1.76,3.10,1.76,3.10,1.34,2.50,1.34,2.50,1.34,1.94,1.32,1.94,1.81,3.29,1.81,3.29,0.09,0.05,0.00,0.03,0.02,
00:00:43:999, 0.70,0.51,0.19,0.06,0.02,0.06,0.02,0.06,0.02,0.06,0.02,0.04,0.02,0.04,0.02,0.10,0.03,0.10,0.03,23.91,6.92,6.40,10.59,0.00,38.38,14.79,23.59,2.09,3.26,2.08,3.26,2.53,3.37,2.52,3.37,0.90,2.22,0.88,2.22,1.89,2.95,1.89,2.95,0.09,0.06,0.00,0.01,0.02,
00:00:44:252, 0.69,0.50,0.18,0.06,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.10,0.03,0.10,0.03,21.58,5.34,5.73,10.51,0.00,34.12,12.53,21.60,1.27,1.97,1.27,1.97,2.18,4.31,2.18,4.32,1.63,2.72,1.62,2.73,1.19,1.79,1.19,1.79,0.09,0.05,0.00,0.02,0.02,
