Package-0,,,,,,,,,,,,,,,,,,,,,,,,Package-1,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp, Pkg0-Total Mem Bw (GB/s),Pkg0-Total Mem RdBw (GB/s),Pkg0-Total Mem WrBw (GB/s),Pkg0-Mem Ch-A RdBw (GB/s),Pkg0-Mem Ch-A WrBw (GB/s),Pkg0-Mem Ch-B RdBw (GB/s),Pkg0-Mem Ch-B WrBw (GB/s),Pkg0-Mem Ch-C RdBw (GB/s),Pkg0-Mem Ch-C WrBw (GB/s),Pkg0-Mem Ch-D RdBw (GB/s),Pkg0-Mem Ch-D WrBw (GB/s),Pkg0-Mem Ch-E RdBw (GB/s),Pkg0-Mem Ch-E WrBw (GB/s),Pkg0-Mem Ch-F RdBw (GB/s),Pkg0-Mem Ch-F WrBw (GB/s),Pkg0-Mem Ch-G RdBw (GB/s),Pkg0-Mem Ch-G WrBw (GB/s),Pkg0-Mem Ch-H RdBw (GB/s),Pkg0-Mem Ch-H WrBw (GB/s),Pkg0-Approximate xGMI outbound data bytes (GB/s),Pkg0-xGMI0 BW (GB/s),Pkg0-xGMI1 BW (GB/s),Pkg0-xGMI2 BW (GB/s),Pkg0-xGMI3 BW (GB/s),Pkg1-Total Mem Bw (GB/s),Pkg1-Total Mem RdBw (GB/s),Pkg1-Total Mem WrBw (GB/s),Pkg1-Mem Ch-A RdBw (GB/s),Pkg1-Mem Ch-A WrBw (GB/s),Pkg1-Mem Ch-B RdBw (GB/s),Pkg1-Mem Ch-B WrBw (GB/s),Pkg1-Mem Ch-C RdBw (GB/s),Pkg1-Mem Ch-C WrBw (GB/s),Pkg1-Mem Ch-D RdBw (GB/s),Pkg1-Mem Ch-D WrBw (GB/s),Pkg1-Mem Ch-E RdBw (GB/s),Pkg1-Mem Ch-E WrBw (GB/s),Pkg1-Mem Ch-F RdBw (GB/s),Pkg1-Mem Ch-F WrBw (GB/s),Pkg1-Mem Ch-G RdBw (GB/s),Pkg1-Mem Ch-G WrBw (GB/s),Pkg1-Mem Ch-H RdBw (GB/s),Pkg1-Mem Ch-H WrBw (GB/s),Pkg1-Approximate xGMI outbound data bytes (GB/s),Pkg1-xGMI0 BW (GB/s),Pkg1-xGMI1 BW (GB/s),Pkg1-xGMI2 BW (GB/s),Pkg1-xGMI3 BW (GB/s),
00:00:05:273, 11.34,5.97,5.38,0.02,0.01,0.02,0.01,0.03,0.05,0.03,0.05,2.91,2.61,2.92,2.62,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.28,0.17,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:05:526, 0.41,0.28,0.13,0.02,0.01,0.02,0.01,0.09,0.02,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.29,0.18,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:05:779, 0.61,0.41,0.20,0.02,0.01,0.02,0.01,0.16,0.06,0.16,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.03,0.03,0.00,0.00,12.97,6.61,6.36,3.24,3.14,3.23,3.14,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.16,0.16,0.00,0.00,0.00,
00:00:06:032, 0.62,0.42,0.21,0.02,0.01,0.02,0.01,0.16,0.06,0.16,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.04,0.04,0.00,0.00,19.98,10.03,9.95,4.95,4.94,4.95,4.93,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.19,0.19,0.00,0.00,0.00,
00:00:06:285, 0.49,0.36,0.14,0.02,0.01,0.02,0.01,0.13,0.03,0.13,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.06,0.06,0.00,0.00,26.52,13.28,13.24,6.58,6.58,6.58,6.58,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.19,0.19,0.00,0.00,0.00,
00:00:06:538, 0.41,0.27,0.13,0.02,0.01,0.02,0.01,0.08,0.03,0.09,0.03,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.11,0.06,0.05,0.00,0.00,30.37,15.21,15.16,7.55,7.54,7.55,7.54,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.13,0.12,0.00,0.00,0.00,
00:00:06:792, 0.22,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.04,0.03,0.00,0.00,14.75,7.50,7.25,0.02,0.01,0.02,0.01,3.69,3.58,3.70,3.59,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.03,0.00,0.00,0.00,
00:00:07:046, 0.23,0.13,0.11,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.00,0.00,20.71,10.38,10.33,0.02,0.01,0.02,0.01,5.12,5.12,5.13,5.13,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:07:299, 0.23,0.12,0.11,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,27.70,13.97,13.73,0.02,0.01,0.02,0.01,6.91,6.82,6.92,6.83,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:07:553, 0.25,0.14,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.00,30.55,15.52,15.03,0.02,0.01,0.02,0.01,7.45,7.45,7.45,7.45,0.26,0.04,0.26,0.04,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:07:806, 0.39,0.23,0.17,0.02,0.01,0.02,0.01,0.06,0.05,0.06,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,18.05,9.06,8.99,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,4.46,4.45,4.47,4.46,0.01,0.00,0.00,0.00,0.01,
00:00:08:060, 0.48,0.29,0.19,0.03,0.01,0.03,0.01,0.09,0.06,0.09,0.06,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,24.93,12.50,12.43,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,6.18,6.17,6.19,6.18,0.08,0.00,0.00,0.08,0.00,
00:00:08:314, 0.61,0.41,0.20,0.02,0.01,0.02,0.01,0.16,0.06,0.16,0.06,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.07,0.04,0.03,0.00,0.00,29.81,14.94,14.88,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,7.41,7.40,7.41,7.40,0.24,0.02,0.00,0.21,0.02,
00:00:08:567, 0.52,0.39,0.14,0.02,0.01,0.02,0.01,0.14,0.03,0.14,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.12,0.06,0.05,0.00,0.00,27.44,13.98,13.47,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,6.94,6.70,6.93,6.69,0.14,0.00,0.00,0.13,0.00,
00:00:08:821, 0.35,0.24,0.11,0.02,0.01,0.02,0.01,0.08,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.11,0.06,0.05,0.00,0.00,25.16,12.60,12.56,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,6.25,6.24,6.24,6.24,0.02,0.01,0.02,0.01,0.14,0.01,0.00,0.01,0.12,
00:00:09:074, 0.22,0.12,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.04,0.03,0.00,0.00,30.49,15.27,15.22,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,7.58,7.57,7.58,7.57,0.02,0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.02,
00:00:09:328, 0.22,0.12,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.06,0.03,0.02,0.00,0.00,30.66,15.36,15.30,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,7.62,7.61,7.62,7.61,0.03,0.01,0.03,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:09:581, 0.23,0.12,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.00,0.00,0.00,30.23,15.27,14.95,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,7.58,7.43,7.58,7.43,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:09:835, 0.35,0.24,0.11,0.07,0.01,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,30.23,15.17,15.06,0.05,0.01,0.05,0.01,7.49,7.49,7.49,7.49,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.01,0.00,
00:00:10:089, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,30.12,15.08,15.04,0.02,0.01,0.02,0.01,7.48,7.48,7.48,7.48,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:10:343, 0.23,0.11,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,29.58,14.82,14.76,0.02,0.01,0.02,0.01,7.35,7.34,7.35,7.34,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:10:596, 0.22,0.12,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,30.26,15.17,15.09,0.02,0.01,0.02,0.01,7.51,7.50,7.51,7.50,0.04,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:10:850, 0.24,0.12,0.12,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,1.38,0.71,0.67,0.02,0.01,0.02,0.01,0.30,0.29,0.30,0.29,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.01,
00:00:11:104, 0.27,0.16,0.11,0.02,0.01,0.02,0.01,0.04,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.00,0.73,0.62,0.12,0.02,0.01,0.02,0.01,0.24,0.02,0.24,0.02,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.43,0.41,0.00,0.00,0.02,
00:00:11:358, 0.30,0.18,0.12,0.02,0.02,0.02,0.02,0.04,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.00,0.00,34.15,18.42,15.73,0.02,0.01,0.02,0.01,1.57,0.26,1.58,0.26,7.60,7.58,7.60,7.58,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.01,
00:00:11:611, 0.22,0.12,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,30.57,15.31,15.25,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,7.60,7.59,7.60,7.59,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.01,
00:00:11:865, 0.25,0.12,0.13,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,30.57,15.31,15.26,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,7.60,7.59,7.60,7.59,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:12:118, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,1.36,0.70,0.66,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.30,0.29,0.30,0.29,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:12:372, 0.23,0.12,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.02,0.01,0.00,0.00,8.37,7.70,0.66,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,3.80,0.29,3.80,0.29,0.02,0.01,0.02,0.01,0.03,0.00,0.00,0.00,0.02,
